,iters,returns
0,0,70.0
1,1000,593.0
2,2000,571.0
3,3000,760.0
4,4000,657.0
5,5000,788.0
6,6000,822.0
7,7000,629.0
8,8000,725.0
9,9000,984.0
10,10000,783.0
11,11000,881.0
12,12000,1343.0
13,13000,832.0
14,14000,900.0
15,15000,1107.0
16,16000,880.0
17,17000,978.0
18,18000,752.0
19,19000,1076.0
20,20000,862.0
21,21000,851.0
22,22000,1105.0
23,23000,1043.0
24,24000,1074.0
25,25000,999.0
26,26000,972.0
27,27000,978.0
28,28000,1047.0
29,29000,1187.0
30,30000,1759.0
31,31000,1202.0
32,32000,941.0
33,33000,1040.0
34,34000,1119.0
35,35000,903.0
36,36000,951.0
37,37000,1145.0
38,38000,1330.0
39,39000,1270.0
40,40000,903.0
41,41000,1199.0
42,42000,1264.0
43,43000,945.0
44,44000,1287.0
45,45000,1310.0
46,46000,1467.0
47,47000,1407.0
48,48000,1352.0
49,49000,1249.0
50,50000,1198.0
51,51000,1675.0
52,52000,1054.0
53,53000,1139.0
54,54000,1122.0
55,55000,1058.0
56,56000,1260.0
57,57000,783.0
58,58000,900.0
59,59000,797.0
60,60000,1477.0
61,61000,1084.0
62,62000,1152.0
63,63000,1286.0
64,64000,1631.0
65,65000,1177.0
66,66000,1331.0
67,67000,1003.0
68,68000,1082.0
69,69000,1266.0
70,70000,1131.0
71,71000,1161.0
72,72000,1121.0
73,73000,1570.0
74,74000,1380.0
75,75000,1713.0
76,76000,1020.0
77,77000,1230.0
78,78000,1349.0
79,79000,1318.0
80,80000,1220.0
81,81000,1662.0
82,82000,1034.0
83,83000,1218.0
84,84000,671.0
85,85000,2215.0
86,86000,1186.0
87,87000,1776.0
88,88000,1782.0
89,89000,1460.0
90,90000,1224.0
91,91000,1305.0
92,92000,1614.0
93,93000,1642.0
94,94000,846.0
95,95000,1957.0
96,96000,1106.0
97,97000,1509.0
98,98000,1560.0
99,99000,1761.0
100,100000,1521.0
101,101000,1563.0
102,102000,1128.0
103,103000,1011.0
104,104000,1583.0
105,105000,1112.0
106,106000,1201.0
107,107000,1621.0
108,108000,1400.0
109,109000,1687.0
110,110000,1882.0
111,111000,1898.0
112,112000,1404.0
113,113000,1366.0
114,114000,1170.0
115,115000,1418.0
116,116000,2057.0
117,117000,1776.0
118,118000,1326.0
119,119000,1739.0
120,120000,1211.0
121,121000,1353.0
122,122000,1365.0
123,123000,956.0
124,124000,1311.0
125,125000,1505.0
126,126000,1433.0
127,127000,1834.0
128,128000,1188.0
129,129000,1300.0
130,130000,1966.0
131,131000,1383.0
132,132000,1454.0
133,133000,1554.0
134,134000,1735.0
135,135000,1555.0
136,136000,1418.0
137,137000,1660.0
138,138000,1533.0
139,139000,1411.0
140,140000,1870.0
141,141000,1606.0
142,142000,2325.0
143,143000,1848.0
144,144000,1963.0
145,145000,1667.0
146,146000,1837.0
147,147000,1609.0
148,148000,1982.0
149,149000,1346.0
150,150000,1831.0
151,151000,1573.0
152,152000,1592.0
153,153000,1663.0
154,154000,1412.0
155,155000,1915.0
156,156000,1345.0
157,157000,1741.0
158,158000,1962.0
159,159000,2089.0
160,160000,1991.0
161,161000,1839.0
162,162000,1917.0
163,163000,1326.0
164,164000,1314.0
165,165000,1914.0
166,166000,1173.0
167,167000,1295.0
168,168000,2148.0
169,169000,1673.0
170,170000,1385.0
171,171000,1445.0
172,172000,1588.0
173,173000,1706.0
174,174000,1717.0
175,175000,2093.0
176,176000,1601.0
177,177000,1518.0
178,178000,2165.0
179,179000,1649.0
180,180000,2265.0
181,181000,1531.0
182,182000,2164.0
183,183000,1284.0
184,184000,2235.0
185,185000,1631.0
186,186000,1703.0
187,187000,2247.0
188,188000,779.0
189,189000,1682.0
190,190000,1806.0
191,191000,1707.0
192,192000,1573.0
193,193000,616.0
194,194000,1322.0
195,195000,933.0
196,196000,933.0
197,197000,1308.0
198,198000,1270.0
199,199000,1502.0
200,200000,1134.0
